"","filename","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","type"
"32","Study2_G6_T2_Conversation.csv",0.402024601769953,70.8983355564577,3731,11,3.27660144733315,1.55022604333703,0.673254616323983,82.6074349011193,3.7016632016632,"HR"
"33","Study2_G6_T3_Synchronous.csv",3.83235795221152,92.587328824097,45895,54,4.24420960888986,1.96448117614039,0.561840963191416,95.3461068622465,5.48470182921828,"Resp"
"34","Study2_G6_T3_Synchronous.csv",6.90849073254371,92.9694777056306,28775,163,9.57344917463076,2.47958480290588,0.552413828757941,99.2710287943626,25.9939908094733,"HR"
"35","Study2_G7_T1_Conversation.csv",5.47723542980617,90.9375717122133,69455,42,3.93682240299474,1.87485741834803,0.515412511490601,97.2372713939358,6.09696792759728,"Resp"
"36","Study2_G7_T1_Conversation.csv",2.08708660047782,91.9277000759641,12577,241,6.54289576210543,2.50454132782963,0.627864463380544,95.2064435408195,8.69022127052106,"HR"
"37","Study2_G7_T2_Synchronous.csv",4.95224740233847,91.753138552422,65232,46,3.82390544518028,1.82791319698213,0.506218430106481,96.2613247210891,6.0903674742256,"Resp"
"38","Study2_G7_T2_Synchronous.csv",4.66423613110716,96.3599282183043,21343,371,9.03195427072108,2.78895934410076,0.541809098904999,97.6061104418373,12.251348977287,"HR"
"39","Study2_G7_T3_TurnTaking.csv",3.9223454905769,94.7362799143612,49671,41,4.10680276217511,1.93997833034689,0.53331474366859,98.8301296192232,9.43405594715609,"Resp"
"40","Study2_G7_T3_TurnTaking.csv",1.14209679972749,96.9112993773604,5780,150,8.21314878892734,2.74816143627035,0.735260661570329,97.9401857711544,10.4227677601564,"HR"
"41","Study2_G8_T1_TurnTaking.csv",5.54080962189022,94.1526312501849,71123,43,4.02661586266046,1.89925843715339,0.529998158171211,97.8656742424491,5.64962991079901,"Resp"
"42","Study2_G8_T1_TurnTaking.csv",9.91788140985363,97.3539077817115,31698,279,13.0647359454855,3.06345972121152,0.550156284177879,97.7349770324085,16.7410405089796,"HR"
"43","Study2_G8_T2_Synchronous.csv",5.03631470791666,84.7751703583675,68504,22,3.42144984234497,1.62706390055443,0.552588765488714,88.7964958983782,3.95287165697908,"Resp"
"44","Study2_G8_T2_Synchronous.csv",13.7625170754954,97.0639357593007,50379,339,11.3727743702733,3.09741144562397,0.614937580341682,97.4315579047232,13.6672766159696,"HR"
"45","Study2_G8_T3_Conversation.csv",5.32289040701874,89.4845452554345,76657,27,3.411051828274,1.6275105947454,0.519060308412374,95.4878032086733,4.6897774640312,"Resp"
"46","Study2_G8_T3_Conversation.csv",7.85951917922911,97.5891283840308,17050,391,19.2944868035191,3.05892935661004,0.52167833634216,97.8258547959347,27.632730015083,"HR"
"47","Study2_G9_T1_Synchronous.csv",6.16587690761286,91.9600573142089,78073,25,3.98692249561308,1.89569419319692,0.6045918323071,98.1109945787849,6.98007440570023,"Resp"
"48","Study2_G9_T1_Synchronous.csv",1.71248071538603,92.7745782788057,10958,193,6.21847052381821,2.48702652670813,0.635739238562054,95.5806069517624,7.7675370657225,"HR"
"49","Study2_G9_T2_Conversation.csv",5.07360306642556,89.631017905164,73550,27,3.39419442556084,1.61616876476101,0.496046923687057,96.1098365305558,4.58715470560011,"Resp"
"50","Study2_G9_T2_Conversation.csv",0.58050272776595,90.1437866495301,4396,46,5.10555050045496,2.25962720180224,0.701992659780456,93.1038637641578,6.04774328202452,"HR"
"51","Study2_G9_T3_TurnTaking.csv",5.053802164765,89.8967689845586,72257,24,3.45165174308371,1.64821267564086,0.525662802140569,96.7077091653571,5.14244642925595,"Resp"
"52","Study2_G9_T3_TurnTaking.csv",0.611721827793206,91.5920265274231,4582,27,5.24465298996072,2.29313929176009,0.70382791455057,93.9207988718222,6.29425287356322,"HR"
